date,county_name,white,black,asian,ai/an**,nh/pi*,two_plus,other,left blank,hispanic,non_hispanic,eth_unknown,total
2020-11-22,Adams,1135.0,84.0,0.0,0.0,0.0,-,0.0,3113.0,7.0,-,-,4348.0
2020-11-22,Alexander,93.0,62.0,0.0,-,0.0,-,0.0,83.0,0.0,-,-,242.0
2020-11-22,Bond,369.0,13.0,0.0,0.0,-,-,18.0,505.0,0.0,-,-,913.0
2020-11-22,Boone,1522.0,54.0,25.0,6.0,0.0,-,50.0,606.0,1263.0,-,-,3532.0
2020-11-22,Brown,155.0,42.0,-,-,-,-,0.0,66.0,7.0,-,-,275.0
2020-11-22,Bureau,770.0,6.0,0.0,0.0,0.0,-,28.0,920.0,179.0,-,-,1915.0
2020-11-22,Calhoun,154.0,0.0,-,0.0,-,-,0.0,51.0,0.0,-,-,215.0
2020-11-22,Carroll,462.0,32.0,0.0,0.0,0.0,-,9.0,452.0,13.0,-,-,978.0
2020-11-22,Cass,447.0,33.0,0.0,0.0,0.0,-,0.0,98.0,280.0,-,-,871.0
2020-11-22,Champaign,6124.0,1363.0,516.0,0.0,6.0,-,312.0,469.0,1273.0,-,-,10068.0
2020-11-22,Christian,725.0,62.0,0.0,0.0,0.0,-,22.0,858.0,56.0,-,-,1731.0
2020-11-22,Clark,505.0,0.0,0.0,0.0,-,-,7.0,179.0,6.0,-,-,702.0
2020-11-22,Clay,629.0,0.0,0.0,0.0,0.0,-,6.0,95.0,0.0,-,-,738.0
2020-11-22,Clinton,1579.0,50.0,0.0,0.0,0.0,-,81.0,1185.0,44.0,-,-,2943.0
2020-11-22,Coles,2385.0,116.0,16.0,0.0,0.0,-,55.0,426.0,71.0,-,-,3071.0
2020-11-22,Cook,34294.0,14056.0,4012.0,235.0,229.0,-,7057.0,44535.0,27390.0,-,-,131812.0
2020-11-22,Crawford,665.0,150.0,0.0,0.0,0.0,-,16.0,131.0,36.0,-,-,1004.0
2020-11-22,Cumberland,404.0,0.0,0.0,-,-,-,9.0,144.0,0.0,-,-,561.0
2020-11-22,De Witt,396.0,0.0,0.0,0.0,0.0,-,0.0,151.0,6.0,-,-,570.0
2020-11-22,DeKalb,2236.0,349.0,59.0,0.0,0.0,-,50.0,1024.0,841.0,-,-,4567.0
2020-11-22,Douglas,689.0,0.0,0.0,0.0,0.0,-,44.0,270.0,221.0,-,-,1242.0
2020-11-22,DuPage,14868.0,1466.0,2000.0,40.0,43.0,-,1277.0,13748.0,7563.0,-,-,41006.0
2020-11-22,Edgar,604.0,0.0,0.0,0.0,0.0,-,0.0,77.0,0.0,-,-,688.0
2020-11-22,Edwards,172.0,0.0,0.0,-,-,-,0.0,26.0,0.0,-,-,203.0
2020-11-22,Effingham,929.0,0.0,0.0,0.0,0.0,-,105.0,1375.0,13.0,-,-,2433.0
2020-11-22,Fayette,848.0,34.0,0.0,0.0,0.0,-,42.0,476.0,0.0,-,-,1411.0
2020-11-22,Ford,496.0,0.0,0.0,0.0,0.0,-,11.0,122.0,19.0,-,-,658.0
2020-11-22,Franklin,1293.0,0.0,0.0,0.0,-,-,13.0,529.0,12.0,-,-,1856.0
2020-11-22,Fulton,310.0,20.0,0.0,0.0,0.0,-,9.0,886.0,9.0,-,-,1237.0
2020-11-22,Gallatin,142.0,0.0,0.0,0.0,-,-,0.0,29.0,0.0,-,-,177.0
2020-11-22,Greene,387.0,0.0,0.0,0.0,0.0,-,7.0,358.0,0.0,-,-,754.0
2020-11-22,Grundy,1340.0,19.0,0.0,0.0,0.0,-,128.0,804.0,129.0,-,-,2426.0
2020-11-22,Hamilton,218.0,0.0,0.0,0.0,0.0,-,0.0,133.0,0.0,-,-,357.0
2020-11-22,Hancock,256.0,0.0,0.0,0.0,0.0,-,7.0,612.0,0.0,-,-,883.0
2020-11-22,Hardin,84.0,0.0,0.0,0.0,-,-,0.0,36.0,0.0,-,-,120.0
2020-11-22,Henderson,146.0,-,-,0.0,-,-,0.0,100.0,0.0,-,-,254.0
2020-11-22,Henry,893.0,26.0,0.0,0.0,0.0,-,42.0,1291.0,70.0,-,-,2331.0
2020-11-22,Iroquois,1083.0,13.0,0.0,0.0,0.0,-,31.0,227.0,125.0,-,-,1486.0
2020-11-22,Jackson,1465.0,367.0,14.0,0.0,0.0,-,39.0,371.0,177.0,-,-,2440.0
2020-11-22,Jasper,377.0,0.0,0.0,-,-,-,0.0,197.0,0.0,-,-,581.0
2020-11-22,Jefferson,859.0,51.0,0.0,0.0,0.0,-,32.0,685.0,37.0,-,-,1673.0
2020-11-22,Jersey,749.0,7.0,0.0,0.0,0.0,-,23.0,324.0,0.0,-,-,1105.0
2020-11-22,Jo Daviess,555.0,0.0,0.0,0.0,0.0,-,0.0,401.0,27.0,-,-,989.0
2020-11-22,Johnson,430.0,55.0,0.0,-,0.0,-,0.0,129.0,35.0,-,-,653.0
2020-11-22,Kane,8008.0,972.0,531.0,22.0,17.0,-,631.0,9455.0,9601.0,-,-,29240.0
2020-11-22,Kankakee,4059.0,988.0,23.0,0.0,0.0,-,212.0,1595.0,870.0,-,-,7753.0
2020-11-22,Kendall,2103.0,350.0,86.0,7.0,0.0,-,121.0,1580.0,1387.0,-,-,5646.0
