county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,602.0,7.0,1.0,-,-,-,34.0,75.0,41,499,179,719.0
Allen,5243.0,1087.0,322.0,-,-,-,1713.0,1400.0,854,5533,3378,9765.0
Bartholomew,1055.0,32.0,28.0,-,-,-,293.0,215.0,151,548,924,1623.0
Benton,82.0,0.0,0.0,-,-,-,13.0,29.0,48,59,17,124.0
Blackford,254.0,0.0,0.0,-,-,-,9.0,25.0,10,212,66,288.0
Boone,961.0,27.0,19.0,-,-,-,201.0,237.0,23,544,878,1445.0
Brown,139.0,0.0,2.0,-,-,-,9.0,12.0,1,105,56,162.0
Carroll,241.0,3.0,0.0,-,-,-,108.0,44.0,38,198,160,396.0
Cass,1108.0,106.0,117.0,-,-,-,652.0,432.0,971,726,718,2415.0
Clark,2356.0,254.0,24.0,-,-,-,256.0,453.0,281,1681,1381,3343.0
Clay,465.0,1.0,0.0,-,-,-,9.0,85.0,1,251,308,560.0
Clinton,770.0,2.0,2.0,-,-,-,245.0,68.0,327,587,173,1087.0
Crawford,165.0,0.0,0.0,-,-,-,6.0,9.0,3,113,64,180.0
Daviess,667.0,13.0,2.0,-,-,-,99.0,255.0,23,246,767,1036.0
Dearborn,879.0,8.0,5.0,-,-,-,26.0,256.0,9,642,523,1174.0
Decatur,532.0,3.0,1.0,-,-,-,30.0,65.0,7,408,216,631.0
Dekalb,800.0,4.0,5.0,-,-,-,71.0,59.0,27,742,170,939.0
Delaware,2492.0,245.0,11.0,-,-,-,158.0,523.0,39,2034,1356,3429.0
Dubois,1254.0,20.0,2.0,-,-,-,237.0,144.0,285,1084,288,1657.0
Elkhart,4964.0,450.0,65.0,-,-,-,1803.0,3223.0,1984,2772,5749,10505.0
Fayette,774.0,15.0,1.0,-,-,-,19.0,142.0,5,590,356,951.0
Floyd,1548.0,129.0,12.0,-,-,-,133.0,230.0,62,1025,965,2052.0
Fountain,319.0,2.0,0.0,-,-,-,26.0,62.0,5,215,189,409.0
Franklin,317.0,0.0,0.0,-,-,-,10.0,85.0,2,250,160,412.0
Fulton,347.0,2.0,1.0,-,-,-,36.0,58.0,35,258,151,444.0
Gibson,762.0,11.0,1.0,-,-,-,112.0,165.0,11,214,826,1051.0
Grant,1164.0,71.0,7.0,-,-,-,106.0,152.0,61,971,468,1500.0
Greene,546.0,1.0,0.0,-,-,-,16.0,79.0,12,403,227,642.0
Hamilton,4618.0,263.0,157.0,-,-,-,496.0,1665.0,202,2949,4048,7199.0
Hancock,976.0,40.0,6.0,-,-,-,132.0,233.0,26,564,797,1387.0
Harrison,811.0,2.0,5.0,-,-,-,21.0,65.0,24,621,259,904.0
Hendricks,2414.0,290.0,68.0,-,-,-,333.0,619.0,102,1817,1805,3724.0
Henry,1130.0,47.0,2.0,-,-,-,129.0,255.0,29,731,803,1563.0
Howard,1304.0,135.0,5.0,-,-,-,151.0,250.0,50,936,859,1845.0
Huntington,504.0,3.0,0.0,-,-,-,30.0,29.0,18,441,107,566.0
Jackson,878.0,6.0,6.0,-,-,-,350.0,87.0,244,642,441,1327.0
Jasper,578.0,5.0,2.0,-,-,-,132.0,127.0,36,473,335,844.0
Jay,351.0,2.0,1.0,-,-,-,27.0,50.0,21,270,140,431.0
Jefferson,393.0,6.0,4.0,-,-,-,18.0,46.0,4,308,155,467.0
Jennings,352.0,4.0,0.0,-,-,-,55.0,38.0,13,217,219,449.0
Johnson,2501.0,70.0,104.0,-,-,-,437.0,555.0,82,1952,1633,3667.0
Knox,771.0,21.0,2.0,-,-,-,40.0,145.0,23,472,484,979.0
Kosciusko,1641.0,19.0,12.0,-,-,-,242.0,507.0,205,1329,887,2421.0
Lagrange,614.0,0.0,0.0,-,-,-,76.0,199.0,33,495,361,889.0
Lake,5580.0,2582.0,68.0,-,-,-,3290.0,4863.0,2352,4840,9191,16383.0
Laporte,1683.0,325.0,7.0,-,-,-,282.0,387.0,204,1575,905,2684.0
Lawrence,930.0,2.0,4.0,-,-,-,101.0,70.0,5,770,332,1107.0
Madison,2004.0,187.0,6.0,-,-,-,263.0,438.0,112,1529,1257,2898.0
Marion,10599.0,5466.0,731.0,-,-,-,5013.0,6185.0,2439,8974,16581,27994.0
Marshall,1021.0,9.0,2.0,-,-,-,252.0,411.0,221,522,952,1695.0
Martin,175.0,0.0,2.0,-,-,-,17.0,23.0,0,135,82,217.0
Miami,577.0,28.0,5.0,-,-,-,43.0,148.0,31,452,318,801.0
Monroe,2642.0,127.0,101.0,-,-,-,477.0,235.0,154,1665,1763,3582.0
Montgomery,446.0,6.0,0.0,-,-,-,190.0,102.0,65,380,299,744.0
Morgan,893.0,2.0,1.0,-,-,-,118.0,91.0,9,703,393,1105.0
Newton,208.0,3.0,0.0,-,-,-,43.0,34.0,11,183,94,288.0
Noble,937.0,5.0,21.0,-,-,-,283.0,147.0,233,874,286,1393.0
Ohio,131.0,0.0,0.0,-,-,-,2.0,21.0,1,86,67,154.0
Orange,411.0,3.0,1.0,-,-,-,24.0,22.0,1,287,173,461.0
Owen,191.0,2.0,1.0,-,-,-,14.0,59.0,3,141,123,267.0
Parke,238.0,1.0,1.0,-,-,-,5.0,45.0,5,161,124,290.0
Perry,336.0,14.0,1.0,-,-,-,54.0,124.0,1,165,363,529.0
Pike,323.0,0.0,0.0,-,-,-,21.0,45.0,0,127,262,389.0
Porter,2721.0,191.0,26.0,-,-,-,512.0,720.0,376,2163,1631,4170.0
Posey,764.0,15.0,1.0,-,-,-,61.0,32.0,10,85,778,873.0
Pulaski,173.0,2.0,1.0,-,-,-,9.0,18.0,4,130,69,203.0
Putnam,598.0,67.0,4.0,-,-,-,65.0,109.0,12,410,421,843.0
Randolph,431.0,4.0,0.0,-,-,-,23.0,60.0,18,320,180,518.0
Ripley,474.0,1.0,1.0,-,-,-,21.0,77.0,4,407,163,574.0
Rush,250.0,1.0,0.0,-,-,-,15.0,40.0,1,180,125,306.0
Scott,494.0,2.0,0.0,-,-,-,67.0,50.0,10,364,239,613.0
