county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,476.0,7.0,1.0,-,-,-,29.0,47.0,37,395,128,560.0
Allen,4427.0,984.0,305.0,-,-,-,1589.0,1342.0,778,4746,3123,8647.0
Bartholomew,944.0,28.0,28.0,-,-,-,282.0,197.0,146,474,859,1479.0
Benton,76.0,0.0,0.0,-,-,-,13.0,24.0,45,55,13,113.0
Blackford,208.0,0.0,0.0,-,-,-,7.0,24.0,10,170,59,239.0
Boone,836.0,27.0,17.0,-,-,-,187.0,224.0,20,480,791,1291.0
Brown,124.0,0.0,2.0,-,-,-,9.0,12.0,1,91,55,147.0
Carroll,209.0,3.0,0.0,-,-,-,104.0,27.0,32,168,143,343.0
Cass,1021.0,105.0,117.0,-,-,-,647.0,407.0,968,661,668,2297.0
Clark,2135.0,241.0,22.0,-,-,-,247.0,417.0,271,1510,1281,3062.0
Clay,382.0,1.0,0.0,-,-,-,7.0,71.0,0,215,246,461.0
Clinton,659.0,1.0,1.0,-,-,-,209.0,54.0,275,492,157,924.0
Crawford,151.0,0.0,0.0,-,-,-,5.0,7.0,2,104,57,163.0
Daviess,622.0,11.0,2.0,-,-,-,87.0,201.0,21,234,668,923.0
Dearborn,778.0,6.0,5.0,-,-,-,21.0,221.0,7,571,453,1031.0
Decatur,444.0,2.0,1.0,-,-,-,28.0,53.0,7,326,195,528.0
Dekalb,647.0,4.0,3.0,-,-,-,59.0,47.0,21,583,156,760.0
Delaware,2246.0,220.0,8.0,-,-,-,146.0,495.0,38,1825,1252,3115.0
Dubois,1085.0,19.0,1.0,-,-,-,232.0,127.0,280,921,263,1464.0
Elkhart,4245.0,396.0,53.0,-,-,-,1675.0,2902.0,1792,2311,5168,9271.0
Fayette,603.0,15.0,0.0,-,-,-,17.0,132.0,4,459,304,767.0
Floyd,1417.0,120.0,12.0,-,-,-,120.0,205.0,56,926,892,1874.0
Fountain,258.0,2.0,0.0,-,-,-,21.0,48.0,5,180,144,329.0
Franklin,292.0,0.0,0.0,-,-,-,9.0,82.0,2,228,153,383.0
Fulton,287.0,2.0,1.0,-,-,-,36.0,52.0,35,208,135,378.0
Gibson,671.0,11.0,1.0,-,-,-,93.0,168.0,11,203,730,944.0
Grant,1032.0,59.0,7.0,-,-,-,93.0,144.0,53,848,434,1335.0
Greene,492.0,0.0,0.0,-,-,-,15.0,71.0,11,364,203,578.0
Hamilton,4040.0,243.0,141.0,-,-,-,451.0,1525.0,175,2484,3741,6400.0
Hancock,873.0,37.0,5.0,-,-,-,126.0,206.0,26,486,735,1247.0
Harrison,726.0,2.0,4.0,-,-,-,21.0,57.0,24,546,240,810.0
Hendricks,2204.0,279.0,64.0,-,-,-,304.0,567.0,96,1652,1670,3418.0
Henry,958.0,45.0,2.0,-,-,-,117.0,208.0,28,598,704,1330.0
Howard,1189.0,128.0,4.0,-,-,-,149.0,224.0,50,847,797,1694.0
Huntington,396.0,3.0,0.0,-,-,-,22.0,24.0,16,339,90,445.0
Jackson,795.0,6.0,6.0,-,-,-,325.0,78.0,242,569,399,1210.0
Jasper,471.0,4.0,2.0,-,-,-,99.0,112.0,35,379,274,688.0
Jay,276.0,2.0,1.0,-,-,-,25.0,34.0,20,211,107,338.0
Jefferson,302.0,5.0,2.0,-,-,-,16.0,40.0,3,221,141,365.0
Jennings,302.0,1.0,0.0,-,-,-,51.0,33.0,13,172,202,387.0
Johnson,2199.0,67.0,87.0,-,-,-,412.0,521.0,67,1709,1510,3286.0
Knox,645.0,17.0,2.0,-,-,-,30.0,124.0,18,395,405,818.0
Kosciusko,1302.0,15.0,10.0,-,-,-,217.0,467.0,169,1015,827,2011.0
Lagrange,562.0,0.0,0.0,-,-,-,82.0,184.0,32,453,343,828.0
Lake,4794.0,2392.0,63.0,-,-,-,3053.0,4134.0,2072,4114,8250,14436.0
Laporte,1471.0,298.0,7.0,-,-,-,259.0,357.0,181,1384,827,2392.0
Lawrence,792.0,2.0,4.0,-,-,-,100.0,70.0,5,654,309,968.0
Madison,1674.0,170.0,5.0,-,-,-,233.0,426.0,84,1236,1188,2508.0
Marion,9760.0,5204.0,614.0,-,-,-,4711.0,5766.0,2297,8220,15538,26055.0
Marshall,879.0,7.0,2.0,-,-,-,225.0,361.0,192,414,868,1474.0
Martin,164.0,0.0,2.0,-,-,-,17.0,22.0,0,129,76,205.0
Miami,468.0,27.0,4.0,-,-,-,41.0,131.0,30,355,286,671.0
