county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
St. Joseph,2020-11-09,4947.0,1290.0,97.0,-,-,-,1563.0,4443.0,677,2805,8858,12340.0
Starke,2020-11-09,492.0,3.0,0.0,-,-,-,28.0,117.0,20,401,219,640.0
Steuben,2020-11-09,613.0,7.0,2.0,-,-,-,94.0,193.0,32,418,459,909.0
Sullivan,2020-11-09,423.0,3.0,0.0,-,-,-,5.0,123.0,0,190,364,554.0
Switzerland,2020-11-09,121.0,0.0,0.0,-,-,-,7.0,28.0,1,62,93,156.0
Tippecanoe,2020-11-09,3439.0,226.0,143.0,-,-,-,677.0,1085.0,664,2843,2063,5570.0
Tipton,2020-11-09,334.0,2.0,0.0,-,-,-,14.0,16.0,5,283,78,366.0
Union,2020-11-09,111.0,0.0,,-,-,-,7.0,54.0,0,70,102,172.0
Vanderburgh,2020-11-09,5682.0,662.0,43.0,-,-,-,529.0,581.0,54,1020,6423,7497.0
Vermillion,2020-11-09,305.0,1.0,0.0,-,-,-,1.0,55.0,1,213,148,362.0
Vigo,2020-11-09,2565.0,191.0,35.0,-,-,-,86.0,808.0,67,1776,1842,3685.0
Wabash,2020-11-09,670.0,6.0,3.0,-,-,-,56.0,82.0,19,593,205,817.0
Warren,2020-11-09,130.0,0.0,1.0,-,-,-,3.0,14.0,2,107,39,148.0
Warrick,2020-11-09,2122.0,34.0,12.0,-,-,-,170.0,160.0,11,306,2181,2498.0
Washington,2020-11-09,400.0,2.0,0.0,-,-,-,40.0,45.0,6,265,216,487.0
Wayne,2020-11-09,1484.0,87.0,10.0,-,-,-,131.0,347.0,63,1088,908,2059.0
Wells,2020-11-09,616.0,3.0,1.0,-,-,-,23.0,64.0,9,573,125,707.0
White,2020-11-09,597.0,4.0,4.0,-,-,-,115.0,97.0,99,458,260,817.0
Whitley,2020-11-09,630.0,4.0,1.0,-,-,-,83.0,55.0,17,571,185,773.0
