county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,493.0,7.0,1.0,-,-,-,29.0,47.0,37,412,128,577.0
Allen,4496.0,992.0,307.0,-,-,-,1597.0,1349.0,780,4806,3155,8741.0
Bartholomew,952.0,29.0,28.0,-,-,-,284.0,197.0,147,478,865,1490.0
Benton,74.0,0.0,0.0,-,-,-,13.0,24.0,45,53,13,111.0
Blackford,211.0,0.0,0.0,-,-,-,7.0,24.0,10,173,59,242.0
Boone,852.0,27.0,17.0,-,-,-,189.0,225.0,20,486,804,1310.0
Brown,127.0,0.0,2.0,-,-,-,9.0,12.0,1,94,55,150.0
Carroll,211.0,3.0,0.0,-,-,-,104.0,29.0,32,170,145,347.0
Cass,1022.0,105.0,117.0,-,-,-,647.0,410.0,968,662,671,2301.0
Clark,2149.0,245.0,22.0,-,-,-,248.0,421.0,271,1525,1289,3085.0
Clay,390.0,1.0,0.0,-,-,-,7.0,71.0,0,218,251,469.0
Clinton,667.0,2.0,1.0,-,-,-,209.0,56.0,283,498,154,935.0
Crawford,152.0,0.0,0.0,-,-,-,5.0,8.0,2,105,58,165.0
Daviess,627.0,11.0,2.0,-,-,-,87.0,205.0,21,238,673,932.0
Dearborn,779.0,6.0,5.0,-,-,-,21.0,227.0,7,572,459,1038.0
Decatur,449.0,2.0,1.0,-,-,-,28.0,53.0,7,331,195,533.0
Dekalb,667.0,4.0,3.0,-,-,-,59.0,48.0,21,602,158,781.0
Delaware,2269.0,221.0,8.0,-,-,-,149.0,497.0,38,1849,1257,3144.0
Dubois,1099.0,19.0,1.0,-,-,-,232.0,128.0,281,933,265,1479.0
Elkhart,4329.0,403.0,54.0,-,-,-,1683.0,2933.0,1830,2370,5202,9402.0
Fayette,616.0,15.0,0.0,-,-,-,17.0,142.0,4,471,315,790.0
Floyd,1422.0,121.0,12.0,-,-,-,120.0,209.0,59,930,895,1884.0
Fountain,259.0,2.0,0.0,-,-,-,23.0,55.0,5,181,153,339.0
Franklin,292.0,0.0,0.0,-,-,-,9.0,82.0,2,228,153,383.0
Fulton,297.0,2.0,1.0,-,-,-,36.0,59.0,35,217,143,395.0
Gibson,677.0,11.0,1.0,-,-,-,93.0,174.0,11,203,742,956.0
Grant,1048.0,61.0,7.0,-,-,-,94.0,144.0,54,862,438,1354.0
Greene,494.0,0.0,0.0,-,-,-,15.0,72.0,11,366,204,581.0
Hamilton,4071.0,247.0,142.0,-,-,-,455.0,1547.0,177,2516,3769,6462.0
Hancock,873.0,37.0,5.0,-,-,-,126.0,209.0,26,485,739,1250.0
Harrison,723.0,2.0,4.0,-,-,-,21.0,57.0,23,544,240,807.0
Hendricks,2219.0,280.0,64.0,-,-,-,304.0,575.0,96,1661,1685,3442.0
Henry,969.0,45.0,2.0,-,-,-,118.0,209.0,28,607,708,1343.0
Howard,1194.0,128.0,4.0,-,-,-,149.0,226.0,49,851,801,1701.0
Huntington,403.0,3.0,0.0,-,-,-,22.0,26.0,16,344,94,454.0
Jackson,805.0,6.0,6.0,-,-,-,328.0,80.0,244,579,402,1225.0
Jasper,483.0,4.0,2.0,-,-,-,106.0,112.0,35,391,281,707.0
Jay,282.0,2.0,1.0,-,-,-,25.0,38.0,21,217,110,348.0
Jefferson,302.0,5.0,2.0,-,-,-,16.0,40.0,3,221,141,365.0
Jennings,303.0,1.0,0.0,-,-,-,51.0,33.0,13,173,202,388.0
Johnson,2217.0,67.0,85.0,-,-,-,414.0,524.0,69,1723,1515,3307.0
Knox,663.0,17.0,2.0,-,-,-,31.0,126.0,19,409,411,839.0
Kosciusko,1387.0,16.0,11.0,-,-,-,220.0,469.0,176,1098,829,2103.0
Lagrange,572.0,0.0,0.0,-,-,-,74.0,182.0,32,462,334,828.0
Lake,4850.0,2413.0,64.0,-,-,-,3065.0,4235.0,2102,4183,8342,14627.0
Laporte,1486.0,299.0,7.0,-,-,-,259.0,363.0,181,1400,833,2414.0
Lawrence,815.0,2.0,4.0,-,-,-,100.0,71.0,5,673,314,992.0
Madison,1702.0,171.0,5.0,-,-,-,236.0,433.0,86,1264,1197,2547.0
Marion,9818.0,5232.0,619.0,-,-,-,4727.0,5859.0,2309,8279,15667,26255.0
Marshall,888.0,8.0,2.0,-,-,-,225.0,367.0,197,425,868,1490.0
Martin,164.0,0.0,2.0,-,-,-,17.0,21.0,0,129,75,204.0
Miami,486.0,27.0,4.0,-,-,-,41.0,132.0,30,373,287,690.0
Monroe,2477.0,118.0,94.0,-,-,-,464.0,222.0,147,1562,1666,3375.0
Montgomery,365.0,6.0,0.0,-,-,-,174.0,99.0,62,304,278,644.0
Morgan,801.0,2.0,1.0,-,-,-,115.0,85.0,8,622,374,1004.0
Newton,173.0,3.0,0.0,-,-,-,36.0,28.0,11,148,81,240.0
Noble,822.0,5.0,12.0,-,-,-,264.0,142.0,217,764,264,1245.0
Ohio,118.0,0.0,0.0,-,-,-,1.0,17.0,0,74,62,136.0
Orange,381.0,3.0,1.0,-,-,-,24.0,16.0,1,265,159,425.0
Owen,167.0,2.0,1.0,-,-,-,14.0,33.0,3,122,92,217.0
Parke,210.0,0.0,1.0,-,-,-,5.0,44.0,5,138,117,260.0
Perry,253.0,4.0,0.0,-,-,-,38.0,82.0,1,119,257,377.0
Pike,299.0,0.0,0.0,-,-,-,19.0,45.0,0,112,251,363.0
Porter,2307.0,173.0,22.0,-,-,-,450.0,602.0,334,1799,1421,3554.0
Posey,677.0,14.0,1.0,-,-,-,54.0,32.0,10,78,690,778.0
Pulaski,154.0,2.0,1.0,-,-,-,7.0,15.0,4,116,59,179.0
Putnam,552.0,66.0,4.0,-,-,-,62.0,99.0,11,376,396,783.0
Randolph,346.0,3.0,0.0,-,-,-,22.0,50.0,15,242,164,421.0
Ripley,402.0,1.0,1.0,-,-,-,18.0,66.0,3,343,142,488.0
Rush,196.0,1.0,0.0,-,-,-,13.0,44.0,1,140,113,254.0
Scott,448.0,2.0,0.0,-,-,-,61.0,48.0,10,326,223,559.0
Shelby,627.0,7.0,1.0,-,-,-,135.0,148.0,81,419,418,918.0
Spencer,333.0,5.0,1.0,-,-,-,33.0,51.0,19,179,225,423.0
St. Joseph,3722.0,1097.0,68.0,-,-,-,1333.0,3505.0,583,2046,7096,9725.0
Starke,347.0,3.0,0.0,-,-,-,21.0,89.0,14,268,178,460.0
Steuben,435.0,6.0,1.0,-,-,-,82.0,150.0,29,286,359,674.0
Sullivan,363.0,2.0,0.0,-,-,-,4.0,98.0,0,164,303,467.0
Switzerland,69.0,0.0,0.0,-,-,-,5.0,25.0,0,42,57,99.0
Tippecanoe,2348.0,198.0,78.0,-,-,-,512.0,888.0,504,1888,1632,4024.0
Tipton,259.0,1.0,0.0,-,-,-,11.0,14.0,4,217,64,285.0
Union,72.0,0.0,,-,-,-,5.0,41.0,0,41,77,118.0
Vanderburgh,4658.0,584.0,37.0,-,-,-,468.0,477.0,50,837,5337,6224.0
Vermillion,232.0,1.0,0.0,-,-,-,0.0,43.0,1,164,111,276.0
Vigo,1917.0,168.0,29.0,-,-,-,68.0,624.0,53,1313,1440,2806.0
Wabash,352.0,6.0,1.0,-,-,-,43.0,57.0,16,300,143,459.0
Warren,80.0,0.0,0.0,-,-,-,2.0,10.0,1,66,25,92.0
Warrick,1747.0,30.0,9.0,-,-,-,152.0,130.0,9,259,1800,2068.0
Washington,320.0,2.0,0.0,-,-,-,35.0,35.0,5,207,180,392.0
Wayne,996.0,62.0,7.0,-,-,-,107.0,283.0,50,723,682,1455.0
Wells,404.0,2.0,1.0,-,-,-,15.0,51.0,8,370,95,473.0
White,440.0,4.0,4.0,-,-,-,101.0,81.0,89,324,217,630.0
Whitley,397.0,3.0,1.0,-,-,-,45.0,46.0,14,347,131,492.0
