county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,566.0,7.0,1.0,-,-,-,34.0,68.0,41,470,165,676.0
Allen,5046.0,1055.0,319.0,-,-,-,1691.0,1377.0,832,5332,3324,9488.0
Bartholomew,1015.0,30.0,28.0,-,-,-,292.0,206.0,151,516,904,1571.0
Benton,81.0,0.0,0.0,-,-,-,13.0,26.0,46,58,16,120.0
Blackford,249.0,0.0,0.0,-,-,-,9.0,25.0,10,207,66,283.0
Boone,934.0,27.0,18.0,-,-,-,201.0,226.0,22,529,855,1406.0
Brown,136.0,0.0,2.0,-,-,-,9.0,12.0,1,102,56,159.0
Carroll,231.0,3.0,0.0,-,-,-,106.0,39.0,36,186,157,379.0
Cass,1096.0,105.0,117.0,-,-,-,652.0,423.0,971,715,707,2393.0
Clark,2298.0,253.0,23.0,-,-,-,254.0,442.0,277,1622,1371,3270.0
Clay,454.0,1.0,0.0,-,-,-,7.0,83.0,1,240,304,545.0
Clinton,738.0,2.0,2.0,-,-,-,235.0,59.0,315,559,162,1036.0
Crawford,163.0,0.0,0.0,-,-,-,5.0,8.0,2,111,63,176.0
Daviess,659.0,12.0,2.0,-,-,-,95.0,225.0,23,244,726,993.0
Dearborn,845.0,8.0,5.0,-,-,-,25.0,245.0,8,610,510,1128.0
Decatur,505.0,3.0,1.0,-,-,-,29.0,63.0,7,384,210,601.0
Dekalb,758.0,4.0,5.0,-,-,-,71.0,54.0,24,700,168,892.0
Delaware,2446.0,242.0,11.0,-,-,-,158.0,518.0,39,1993,1343,3375.0
Dubois,1226.0,19.0,2.0,-,-,-,237.0,137.0,283,1058,280,1621.0
Elkhart,4752.0,435.0,62.0,-,-,-,1779.0,3103.0,1927,2591,5613,10131.0
Fayette,740.0,15.0,1.0,-,-,-,19.0,132.0,5,558,344,907.0
Floyd,1517.0,128.0,12.0,-,-,-,130.0,223.0,62,996,952,2010.0
Fountain,299.0,2.0,0.0,-,-,-,26.0,58.0,5,196,184,385.0
Franklin,310.0,0.0,0.0,-,-,-,10.0,85.0,2,243,160,405.0
Fulton,332.0,2.0,1.0,-,-,-,36.0,58.0,35,243,151,429.0
Gibson,734.0,11.0,1.0,-,-,-,99.0,164.0,11,210,788,1009.0
Grant,1143.0,70.0,7.0,-,-,-,104.0,146.0,60,948,462,1470.0
Greene,536.0,1.0,0.0,-,-,-,15.0,69.0,12,393,216,621.0
Hamilton,4452.0,259.0,150.0,-,-,-,488.0,1603.0,195,2805,3952,6952.0
Hancock,957.0,38.0,5.0,-,-,-,131.0,222.0,26,542,785,1353.0
Harrison,788.0,2.0,5.0,-,-,-,21.0,64.0,24,600,256,880.0
Hendricks,2373.0,288.0,66.0,-,-,-,328.0,600.0,99,1780,1776,3655.0
Henry,1101.0,47.0,2.0,-,-,-,129.0,192.0,29,705,737,1471.0
Howard,1281.0,133.0,5.0,-,-,-,151.0,240.0,50,918,842,1810.0
Huntington,469.0,3.0,0.0,-,-,-,29.0,27.0,17,408,103,528.0
Jackson,847.0,6.0,6.0,-,-,-,346.0,81.0,244,613,429,1286.0
Jasper,551.0,4.0,2.0,-,-,-,123.0,118.0,36,444,318,798.0
Jay,339.0,2.0,1.0,-,-,-,27.0,44.0,21,263,129,413.0
Jefferson,370.0,6.0,4.0,-,-,-,18.0,42.0,4,285,151,440.0
Jennings,335.0,4.0,0.0,-,-,-,52.0,36.0,13,200,214,427.0
Johnson,2426.0,70.0,98.0,-,-,-,432.0,538.0,78,1878,1608,3564.0
Knox,742.0,21.0,2.0,-,-,-,38.0,137.0,23,454,463,940.0
Kosciusko,1547.0,18.0,11.0,-,-,-,235.0,490.0,194,1236,871,2301.0
Lagrange,602.0,0.0,0.0,-,-,-,76.0,196.0,32,484,358,874.0
Lake,5349.0,2530.0,68.0,-,-,-,3235.0,4544.0,2253,4586,8887,15726.0
Laporte,1627.0,317.0,7.0,-,-,-,277.0,368.0,192,1522,882,2596.0
Lawrence,915.0,2.0,4.0,-,-,-,100.0,69.0,5,760,325,1090.0
Madison,1936.0,183.0,6.0,-,-,-,261.0,428.0,109,1465,1240,2814.0
Marion,10374.0,5403.0,697.0,-,-,-,4959.0,6022.0,2387,8727,16341,27455.0
Marshall,964.0,8.0,2.0,-,-,-,240.0,388.0,206,475,921,1602.0
Martin,171.0,0.0,2.0,-,-,-,17.0,23.0,0,133,80,213.0
Miami,540.0,28.0,4.0,-,-,-,42.0,142.0,31,418,307,756.0
Monroe,2612.0,126.0,99.0,-,-,-,475.0,231.0,152,1648,1743,3543.0
Montgomery,430.0,6.0,0.0,-,-,-,185.0,98.0,65,361,293,719.0
Morgan,863.0,2.0,1.0,-,-,-,119.0,88.0,8,674,391,1073.0
Newton,189.0,3.0,0.0,-,-,-,40.0,30.0,11,162,89,262.0
Noble,902.0,5.0,17.0,-,-,-,277.0,143.0,226,840,278,1344.0
Ohio,128.0,0.0,0.0,-,-,-,1.0,19.0,1,82,65,148.0
Orange,404.0,3.0,1.0,-,-,-,24.0,19.0,1,284,166,451.0
Owen,180.0,2.0,1.0,-,-,-,14.0,36.0,3,130,100,233.0
Parke,226.0,1.0,1.0,-,-,-,5.0,45.0,5,150,123,278.0
Perry,315.0,7.0,1.0,-,-,-,51.0,89.0,1,139,323,463.0
Pike,313.0,0.0,0.0,-,-,-,21.0,45.0,0,119,260,379.0
Porter,2572.0,188.0,25.0,-,-,-,489.0,651.0,356,2024,1545,3925.0
Posey,732.0,14.0,1.0,-,-,-,58.0,32.0,10,80,747,837.0
Pulaski,165.0,2.0,1.0,-,-,-,9.0,17.0,4,122,68,194.0
Putnam,587.0,67.0,4.0,-,-,-,65.0,102.0,12,400,413,825.0
Randolph,418.0,4.0,0.0,-,-,-,23.0,56.0,18,307,176,501.0
Ripley,458.0,1.0,1.0,-,-,-,20.0,72.0,4,391,157,552.0
Rush,240.0,1.0,0.0,-,-,-,14.0,40.0,1,171,123,295.0
Scott,486.0,2.0,0.0,-,-,-,67.0,49.0,10,357,237,604.0
Shelby,704.0,7.0,2.0,-,-,-,142.0,152.0,83,460,464,1007.0
Spencer,363.0,5.0,1.0,-,-,-,38.0,52.0,19,199,241,459.0
St. Joseph,4181.0,1160.0,75.0,-,-,-,1415.0,3638.0,620,2287,7562,10469.0
Starke,382.0,3.0,0.0,-,-,-,22.0,102.0,14,302,193,509.0
Steuben,483.0,7.0,1.0,-,-,-,87.0,157.0,30,313,392,735.0
Sullivan,390.0,3.0,0.0,-,-,-,5.0,97.0,0,173,322,495.0
Switzerland,77.0,0.0,0.0,-,-,-,6.0,26.0,0,45,64,109.0
Tippecanoe,2622.0,207.0,91.0,-,-,-,549.0,952.0,535,2105,1781,4421.0
Tipton,276.0,1.0,0.0,-,-,-,11.0,13.0,4,229,68,301.0
Union,82.0,0.0,,-,-,-,6.0,43.0,0,50,81,131.0
Vanderburgh,4965.0,612.0,37.0,-,-,-,489.0,487.0,54,900,5636,6590.0
Vermillion,249.0,1.0,0.0,-,-,-,0.0,50.0,1,173,126,300.0
Vigo,2087.0,173.0,29.0,-,-,-,73.0,670.0,55,1414,1563,3032.0
Wabash,430.0,6.0,2.0,-,-,-,49.0,61.0,17,364,167,548.0
Warren,101.0,0.0,0.0,-,-,-,2.0,12.0,1,85,29,115.0
Warrick,1836.0,31.0,10.0,-,-,-,157.0,138.0,9,270,1893,2172.0
Washington,350.0,2.0,0.0,-,-,-,36.0,38.0,6,227,193,426.0
Wayne,1214.0,72.0,8.0,-,-,-,122.0,293.0,57,895,757,1709.0
Wells,466.0,2.0,1.0,-,-,-,18.0,56.0,9,427,107,543.0
White,486.0,4.0,4.0,-,-,-,107.0,85.0,91,362,233,686.0
Whitley,451.0,3.0,1.0,-,-,-,48.0,49.0,15,395,142,552.0
